date,price
2016-01-02,201.9000000000001
2016-01-03,253.5999999999999
2016-01-04,-130.29999999999973
2016-01-05,19.949999999999818
2016-01-06,19.949999999999818
2016-01-07,286.10000000000036
2016-01-08,-16.0
2016-01-09,-74.0
2016-01-10,-27.0
2016-01-11,-27.0
2016-01-12,-210.80000000000018
2016-01-13,-213.4000000000001
2016-01-14,-3.599999999999909
2016-01-15,33.80000000000018
2016-01-16,1.2666666666664241
2016-01-17,1.2666666666664241
2016-01-18,1.2666666666668789
2016-01-19,-10.199999999999818
2016-01-20,34.69999999999982
2016-01-21,1.5
2016-01-22,-5.299999999999727
2016-01-23,3.0333333333328483
2016-01-24,3.0333333333337578
2016-01-25,3.033333333333303
2016-01-26,21.5
2016-01-27,7.900000000000091
2016-01-28,2.399999999999636
2016-01-29,-1.0
2016-01-30,7.650000000000091
2016-01-31,7.650000000000091
2016-02-01,7.650000000000091
2016-02-02,7.650000000000091
2016-02-03,234.39999999999964
2016-02-04,23.050000000000182
2016-02-05,23.050000000000182
2016-02-06,-116.0
2016-02-07,147.5999999999999
2016-02-08,147.5999999999999
2016-02-09,-87.80000000000018
2016-02-10,-20.199999999999818
2016-02-11,-20.199999999999818
2016-02-12,-228.9000000000001
2016-02-13,26.166666666666515
2016-02-14,26.16666666666697
2016-02-15,26.166666666666515
2016-02-16,4.0
2016-02-17,13.900000000000091
2016-02-18,-5.800000000000182
2016-02-19,54.90000000000009
2016-02-20,-14.766666666666879
2016-02-21,-14.766666666666424
2016-02-22,-14.766666666666879
2016-02-23,22.5
2016-02-24,65.70000000000027
2016-02-25,-33.30000000000018
2016-02-26,-8.900000000000091
2016-02-27,4.733333333333121
2016-02-28,4.733333333333576
2016-02-29,4.733333333333576
2016-03-01,-128.0
2016-03-02,-128.0
2016-03-03,235.19999999999982
2016-03-04,26.199999999999818
2016-03-05,26.200000000000273
2016-03-06,-78.20000000000027
2016-03-07,115.0
2016-03-08,115.0
2016-03-09,-51.19999999999982
2016-03-10,-51.19999999999982
2016-03-11,-20.800000000000182
2016-03-12,-38.4666666666667
2016-03-13,-38.4666666666667
2016-03-14,-38.4666666666667
2016-03-15,-14.599999999999909
2016-03-16,1.300000000000182
2016-03-17,77.29999999999973
2016-03-18,-62.0
2016-03-19,-6.266666666666879
2016-03-20,-6.266666666666424
2016-03-21,-6.266666666666424
2016-03-22,22.09999999999991
2016-03-23,-71.5
2016-03-24,18.699999999999818
2016-03-25,-2.400000000000091
2016-03-26,1.0
2016-03-27,1.0
2016-03-28,1.0
2016-03-29,-2.099999999999909
2016-03-30,11.200000000000273
2016-03-31,-2.400000000000091
2016-04-01,-329.5999999999999
2016-04-02,221.69999999999982
2016-04-03,232.0
2016-04-04,-155.0
2016-04-05,139.30000000000018
2016-04-06,87.75
2016-04-07,87.75
2016-04-08,9.0
2016-04-09,-91.10000000000036
2016-04-10,-91.09999999999991
2016-04-11,51.40000000000009
2016-04-12,-70.05000000000018
2016-04-13,-70.04999999999973
2016-04-14,-17.300000000000182
2016-04-15,-7.900000000000091
2016-04-16,5.0
2016-04-17,5.0
2016-04-18,5.0
2016-04-19,37.20000000000027
2016-04-20,-19.40000000000009
2016-04-21,-7.400000000000091
2016-04-22,0.599999999999909
2016-04-23,-0.3999999999996362
2016-04-24,-0.40000000000009095
2016-04-25,-0.40000000000009095
2016-04-26,6.800000000000182
2016-04-27,1.099999999999909
2016-04-28,22.699999999999818
2016-04-29,60.09999999999991
2016-04-30,-220.19999999999982
2016-05-01,-220.19999999999982
2016-05-02,193.79999999999973
2016-05-03,57.80000000000018
2016-05-04,57.79999999999973
2016-05-05,127.90000000000009
2016-05-06,89.09999999999991
2016-05-07,89.10000000000036
2016-05-08,-40.80000000000018
2016-05-09,-41.19999999999982
2016-05-10,-121.40000000000009
2016-05-11,-86.65000000000009
2016-05-12,-86.65000000000009
2016-05-13,171.9000000000001
2016-05-14,16.73333333333312
2016-05-15,16.733333333333576
2016-05-16,16.73333333333312
2016-05-17,-23.299999999999727
2016-05-18,-7.200000000000273
2016-05-19,-50.5
2016-05-20,35.600000000000364
2016-05-21,-6.666666666666515
2016-05-22,-6.66666666666697
2016-05-23,-6.666666666666515
2016-05-24,-18.5
2016-05-25,-25.300000000000182
2016-05-26,-11.199999999999818
2016-05-27,-28.300000000000182
2016-05-28,1.166666666666515
2016-05-29,1.166666666666515
2016-05-30,1.1666666666669698
2016-05-31,-5.5
2016-06-01,-281.6999999999998
2016-06-02,91.5
2016-06-03,91.5
2016-06-04,91.5
2016-06-05,149.5
2016-06-06,-78.30000000000018
2016-06-07,281.0999999999999
2016-06-08,-51.75
2016-06-09,-51.75
2016-06-10,-173.19999999999982
2016-06-11,-65.84999999999991
2016-06-12,-65.85000000000036
2016-06-13,204.5
2016-06-14,23.800000000000182
2016-06-15,-1.300000000000182
2016-06-16,48.0
2016-06-17,-34.29999999999973
2016-06-18,-9.699999999999818
2016-06-19,-9.700000000000273
2016-06-20,-9.699999999999818
2016-06-21,0.09999999999990905
2016-06-22,-11.300000000000182
2016-06-23,-13.900000000000091
2016-06-24,106.90000000000009
2016-06-25,14.900000000000091
2016-06-26,14.900000000000091
2016-06-27,14.900000000000091
2016-06-28,-30.700000000000273
2016-06-29,19.40000000000009
2016-06-30,-15.900000000000091
2016-07-01,-489.5999999999999
2016-07-02,177.4000000000001
2016-07-03,177.4000000000001
2016-07-04,-70.0
2016-07-05,3.599999999999909
2016-07-06,3.599999999999909
2016-07-07,275.1999999999998
2016-07-08,-34.34999999999991
2016-07-09,-34.34999999999991
